time/fps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
1554,184,-97.01600375000002,0.7938143749999997,94.21,17363,11,4090,0.6188681721687317,0.001
1550,188,-96.73444022999998,0.7884943749999997,95.39,17811,11,4202,2.3413052558898926,0.001
1545,192,-95.60337750999999,0.7842075000000002,95.85,18172,11,4292,0.573042094707489,0.001
1543,196,-93.53335526000001,0.7802531250000001,95.51,18505,11,4376,1.777175784111023,0.001
1540,200,-94.85951115,0.7754674999999999,95.43,18908,12,4476,0.575055718421936,0.001
1543,204,-92.85300186999999,0.7706106250000002,95.73,19317,12,4579,0.6474133133888245,0.001
1544,208,-89.6775239,0.765338125,96.33,19761,12,4690,0.5746772289276123,0.001
1546,212,-88.12479942,0.7607306249999999,96.92,20149,13,4787,1.403456449508667,0.001
1547,216,-84.16518732999997,0.7556243750000001,97.38,20579,13,4894,1.0447946786880493,0.001
1546,220,-83.41914283,0.7500787500000001,98.04,21046,13,5011,1.9812511205673218,0.001
1542,224,-84.51488270000002,0.7456849999999999,98.09,21416,13,5103,1.366005539894104,0.001
1536,228,-83.71041998000001,0.7409231249999998,97.39,21817,14,5204,0.8401283025741577,0.001
1539,232,-85.53876014999997,0.7366125000000001,97.54,22180,14,5294,0.4697108566761017,0.001
1544,236,-84.40353595,0.7318268749999998,97.94,22583,14,5395,1.896324634552002,0.001
1548,240,-84.12756470999999,0.7273025000000002,97.64,22964,14,5490,2.448270082473755,0.001
1550,244,-82.28082029000001,0.7230393750000002,97.35,23323,15,5580,1.6236093044281006,0.001
1550,248,-82.73399943,0.7176362500000002,98.35,23778,15,5694,2.316929340362549,0.001
1552,252,-82.59195157,0.7128150000000002,98.97,24184,15,5795,1.5619869232177734,0.001
1555,256,-81.07565829,0.7083262499999998,98.28,24562,15,5890,0.964000403881073,0.001
1560,260,-83.22063231,0.7026143749999998,99.41,25043,16,6010,1.2981494665145874,0.001
1564,264,-81.88086339,0.69877875,98.88,25366,16,6091,1.6226460933685303,0.001
