time/fps,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/iterations,train/policy_loss,train/value_loss,train/explained_variance
85,0.78,8799,698.12,88000,0.0007,1034,-0.0016638410743325949,8800,1.614087921097962e-07,1.352344838778663e-06,0.0
85,0.78,8899,698.12,89000,0.0007,1046,-0.0016639174427837133,8900,1.6125375168485334e-07,1.3499956139639835e-06,0.0
84,0.78,8999,698.12,90000,0.0007,1059,-0.002541955327615142,9000,2.5970996375690447e-07,1.3478381788445404e-06,0.0
84,0.78,9099,698.12,91000,0.0007,1071,-0.002681171288713813,9100,2.75513286851492e-07,1.3434967058856273e-06,1.1920928955078125e-07
84,0.78,9199,698.12,92000,0.0007,1084,-0.002687368541955948,9200,2.7629442911347724e-07,1.3455487533065025e-06,-0.0006105899810791016
84,0.78,9299,698.12,93000,0.0007,1096,-0.0029943252447992563,9300,3.1679087442171294e-07,1.3512370742319035e-06,0.0
84,0.78,9399,698.12,94000,0.0007,1108,-0.003043543081730604,9400,3.192949975527881e-07,1.322699631600699e-06,0.0
84,0.78,9499,698.12,95000,0.0007,1120,-0.0030375495553016663,9500,3.142741604733601e-07,1.285548705709516e-06,0.0
84,0.78,9599,698.12,96000,0.0007,1133,-0.0023076662328094244,9600,2.2956692191655748e-07,1.2540201623778557e-06,0.0
84,0.78,9699,698.12,97000,0.0007,1145,-0.002307869726791978,9700,2.3487071132421988e-07,1.312329573011084e-06,1.1920928955078125e-07
84,0.78,9799,966.43,98000,0.0007,1157,-0.0023077798541635275,9800,2.3127533665956435e-07,1.2724544831144158e-06,0.0
84,0.78,9899,966.43,99000,0.0007,1169,-0.002308815950527787,9900,3.1645754461351316e-07,2.3729285203444306e-06,0.0
84,0.78,9999,966.43,100000,0.0007,1181,-0.002308895578607917,10000,3.103028518580686e-07,2.2814401745563373e-06,0.0
84,0.78,10099,966.43,101000,0.0007,1193,-0.0023078995291143656,10100,2.2584329428809724e-07,1.2135569704696536e-06,0.0
84,0.78,10199,966.43,102000,0.0007,1205,-0.0015445038443431258,10200,1.3084843430988258e-07,1.0080891570396489e-06,0.0
84,0.78,10299,966.43,103000,0.0007,1218,-0.00154462072532624,10300,1.4491521937998186e-07,1.2366865576041164e-06,-1.1920928955078125e-07
84,0.78,10399,966.43,104000,0.0007,1230,-0.0015447271289303899,10400,1.547287951098042e-07,1.4097162193138502e-06,1.1920928955078125e-07
84,0.78,10499,966.43,105000,0.0007,1242,-0.0015447771875187755,10500,1.5081035087405326e-07,1.339469008598826e-06,-1.1920928955078125e-07
84,0.78,10599,966.43,106000,0.0007,1254,-0.0015448080375790596,10600,1.465905938857759e-07,1.2657341130761779e-06,0.0
84,0.78,10699,966.43,107000,0.0007,1266,-0.0015448442427441478,10700,1.475847710707967e-07,1.2826085367123596e-06,0.0
84,0.78,10799,966.43,108000,0.0007,1279,-0.001544874394312501,10800,1.4922812852091738e-07,1.311499318035203e-06,0.0
84,0.78,10899,966.43,109000,0.0007,1291,-0.001544894534163177,10900,1.4870121844978712e-07,1.3022897746850504e-06,0.0
84,0.78,10999,966.43,110000,0.0007,1303,-0.001544908038340509,11000,1.4814665405538108e-07,1.292726437895908e-06,-1.1920928955078125e-07
84,0.78,11099,966.43,111000,0.0007,1315,-0.001544923521578312,11100,1.4814662563367165e-07,1.2926066119689494e-06,0.0
84,0.78,11199,966.43,112000,0.0007,1327,-0.0015449394704774022,11200,1.481961362514994e-07,1.2935304312122753e-06,0.0
84,0.78,11299,966.43,113000,0.0007,1340,-0.0015449578640982509,11300,1.4821794991348725e-07,1.2937164228787879e-06,0.0
84,0.78,11399,966.43,114000,0.0007,1352,-0.0027226728852838278,11400,2.8112651762057794e-07,1.290487716687494e-06,0.0
84,0.78,11499,966.43,115000,0.0007,1365,-0.002723321318626404,11500,2.8001531404697744e-07,1.2804987363779219e-06,1.1920928955078125e-07
84,0.78,11599,966.43,116000,0.0007,1377,-0.001822496997192502,11600,1.779428231429847e-07,1.283598749068915e-06,0.0
84,0.78,11699,966.43,117000,0.0007,1390,-0.0018232634756714106,11700,1.7765690074611484e-07,1.2795873089999077e-06,0.0
84,0.78,11799,966.43,118000,0.0007,1402,-0.001823395723477006,11800,1.768534048096626e-07,1.2680668532993877e-06,1.1920928955078125e-07
84,0.78,11899,966.43,119000,0.0007,1415,-0.0021866352763026953,11900,2.1674058814369346e-07,1.2648414440263878e-06,0.00017815828323364258
84,0.78,11999,966.43,120000,0.0007,1428,-0.002186013152822852,12000,2.1666167526745994e-07,1.264276534129749e-06,1.1920928955078125e-07
83,0.78,12099,966.43,121000,0.0007,1440,-0.0022231233306229115,12100,2.2033766811091482e-07,1.257031499335426e-06,0.0
83,0.78,12199,966.43,122000,0.0007,1452,-0.002218311419710517,12200,2.1754206613877614e-07,1.2305970358283957e-06,1.1920928955078125e-07
83,0.78,12299,966.43,123000,0.0007,1464,-0.0021814892534166574,12300,2.1354689749841782e-07,1.2282677062103176e-06,0.0
83,0.78,12399,966.43,124000,0.0007,1477,-0.002180775860324502,12400,2.139528731959217e-07,1.2379030067677377e-06,-1.1920928955078125e-07
83,0.76,12499,1234.19,125000,0.0007,1489,-0.002180385636165738,12500,2.122324502806805e-07,1.218190732288349e-06,0.0
83,0.76,12599,1234.19,126000,0.0007,1501,-0.003003388876095414,12600,4.1425028030062094e-07,2.3036980110191507e-06,1.1920928955078125e-07
83,0.76,12699,1234.19,127000,0.0007,1513,-0.0030034577939659357,12700,3.925467808585381e-07,2.0690017663582694e-06,-1.1920928955078125e-07
83,0.76,12799,1234.19,128000,0.0007,1525,-0.0030028449837118387,12800,2.8405685270627146e-07,1.0833298347279197e-06,0.0
83,0.76,12899,1234.19,129000,0.0007,1537,-0.0030026044696569443,12900,2.6429532340443984e-07,9.378160257256241e-07,0.0
