train/learning_rate,time/total_timesteps,train/value_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,train/explained_variance,time/iterations,train/entropy_loss,train/policy_loss,train/n_updates,rollout/ep_rew_mean
0.0007,358400,0.15783661603927612,700.61,301,1189,0.6478770971298218,2800,-0.7386443614959717,0.045567259192466736,2799,11.08
0.0007,371200,0.8327600955963135,748.35,301,1229,0.4022154211997986,2900,-0.704913318157196,0.4182368814945221,2899,12.29
0.0007,384000,0.2788892984390259,722.73,302,1270,0.5971350967884064,3000,-0.7215266227722168,0.03798794746398926,2999,11.76
0.0007,396800,0.22748854756355286,728.0,302,1311,0.8213016092777252,3100,-0.6899594068527222,-0.1367083191871643,3099,11.83
0.0007,409600,0.4997580647468567,728.82,303,1351,0.23956423997879028,3200,-0.6649098992347717,0.03660393878817558,3199,11.89
0.0007,422400,0.3831669092178345,724.89,303,1392,0.5748561024665833,3300,-0.642423152923584,-0.11527968943119049,3299,11.74
0.0007,435200,0.31300783157348633,747.82,303,1432,0.6460404992103577,3400,-0.6612067222595215,-0.07665470242500305,3399,11.9
0.0007,448000,0.749971866607666,769.05,304,1473,0.0659710168838501,3500,-0.7222244143486023,-0.3786375820636749,3499,12.86
0.0007,460800,0.3813944458961487,769.71,304,1514,0.5226917564868927,3600,-0.7133530378341675,0.15497925877571106,3599,12.73
0.0007,473600,0.38473862409591675,745.63,304,1554,0.4239969849586487,3700,-0.7115300893783569,-0.10584522038698196,3699,12.46
0.0007,486400,0.3323324918746948,768.3,304,1595,0.5103926360607147,3800,-0.7269328832626343,-0.10153833031654358,3799,13.11
0.0007,499200,0.31802594661712646,779.31,305,1635,0.6768118739128113,3900,-0.6043224930763245,-0.04440008103847504,3899,13.34
0.0007,512000,0.4398024082183838,786.45,305,1675,0.6076103150844574,4000,-0.7281994819641113,-0.10563704371452332,3999,13.39
0.0007,524800,0.39722853899002075,730.01,305,1716,0.6317885518074036,4100,-0.8039396405220032,-0.04621253162622452,4099,11.99
0.0007,537600,0.3776380121707916,771.24,305,1757,0.6772910952568054,4200,-0.7029328346252441,-0.14369148015975952,4199,13.34
0.0007,550400,0.6197966933250427,811.2,306,1797,0.19591975212097168,4300,-0.7527388334274292,0.04853639751672745,4299,14.23
0.0007,563200,0.2964864671230316,787.92,306,1837,0.5487964153289795,4400,-0.7250550985336304,0.005780588835477829,4399,13.72
0.0007,576000,0.32111671566963196,800.06,306,1878,0.5743312537670135,4500,-0.7431124448776245,0.08462640643119812,4499,13.59
0.0007,588800,0.2908761501312256,791.79,306,1918,0.5551270842552185,4600,-0.7843809127807617,0.15485627949237823,4599,13.84
0.0007,601600,0.2038029134273529,798.09,307,1958,0.810951292514801,4700,-0.8758823275566101,0.10616806149482727,4699,14.01
0.0007,614400,0.3943731486797333,806.86,307,1998,0.4559602737426758,4800,-0.7491419315338135,0.26757609844207764,4799,13.85
0.0007,627200,0.2490614950656891,792.92,307,2038,0.6152052581310272,4900,-0.6578359007835388,0.1250390261411667,4899,13.44
0.0007,640000,0.3060804009437561,821.57,307,2078,0.7823184281587601,5000,-0.7082209587097168,-0.02531934343278408,4999,14.03
0.0007,652800,0.3293333649635315,817.88,308,2119,0.7710594832897186,5100,-0.8292233943939209,0.278755784034729,5099,14.08
0.0007,665600,0.48143500089645386,816.75,308,2159,0.22255414724349976,5200,-0.6759568452835083,0.03689383715391159,5199,14.14
0.0007,678400,0.7760080099105835,864.81,308,2199,0.5878278017044067,5300,-0.6523789763450623,-0.2727080285549164,5299,15.56
0.0007,691200,0.2289494425058365,870.83,308,2239,0.8450928926467896,5400,-0.5562242865562439,-0.12022420018911362,5399,15.71
0.0007,704000,0.5234675407409668,845.46,308,2279,0.4880105257034302,5500,-0.450395405292511,0.007231033407151699,5499,14.93
0.0007,716800,0.3347674012184143,810.77,309,2319,0.46853089332580566,5600,-0.755723237991333,0.1835448145866394,5599,14.14
0.0007,729600,0.3386339545249939,829.12,309,2359,0.5755657851696014,5700,-0.6659575700759888,-0.028864700347185135,5699,14.99
0.0007,742400,0.20229434967041016,831.59,309,2399,0.7396484911441803,5800,-0.6851305365562439,0.10893841087818146,5799,14.66
0.0007,755200,0.3649483621120453,845.63,309,2439,0.7088885009288788,5900,-0.5366284251213074,-0.06553959846496582,5899,15.34
0.0007,768000,0.46793848276138306,843.03,309,2479,0.744583785533905,6000,-0.6608484387397766,-0.3002908229827881,5999,15.14
0.0007,780800,0.4015834629535675,850.12,309,2519,0.7027718722820282,6100,-0.6284332275390625,0.18082457780838013,6099,15.21
0.0007,793600,0.5245662927627563,836.26,310,2559,0.5862299501895905,6200,-0.6378282308578491,-0.30240029096603394,6199,14.37
0.0007,806400,0.2809615731239319,843.88,310,2600,0.5281006395816803,6300,-0.5943121910095215,0.1593702733516693,6299,14.76
0.0007,819200,0.44995564222335815,863.13,310,2640,0.6951786875724792,6400,-0.6823357939720154,-0.21919280290603638,6399,15.66
0.0007,832000,0.28433844447135925,871.36,310,2680,0.6244671940803528,6500,-0.6808618903160095,-0.01760753244161606,6499,16.07
0.0007,844800,0.41709643602371216,815.08,310,2720,0.5654086470603943,6600,-0.743564248085022,0.05782109498977661,6599,14.39
0.0007,857600,0.3919445872306824,841.87,310,2760,0.7011555135250092,6700,-0.6422311663627625,-0.20840179920196533,6699,15.49
0.0007,870400,0.2796565890312195,864.83,310,2800,0.8062999993562698,6800,-0.549721360206604,-0.061626020818948746,6799,16.17
0.0007,883200,0.2259269654750824,885.42,310,2840,0.6684021055698395,6900,-0.6835979223251343,0.21535474061965942,6899,16.62
0.0007,896000,0.44721198081970215,873.85,311,2880,0.6423235833644867,7000,-0.5222133994102478,-0.06375500559806824,6999,16.07
0.0007,908800,0.2810189127922058,890.17,311,2920,0.564814418554306,7100,-0.6183750629425049,0.0834592655301094,7099,16.49
0.0007,921600,0.2029285728931427,867.17,311,2960,0.721152275800705,7200,-0.7173197865486145,0.024885106831789017,7199,15.44
0.0007,934400,0.3112056851387024,864.19,311,3000,0.410053551197052,7300,-0.6484143733978271,0.04465257376432419,7299,15.89
0.0007,947200,0.284213125705719,870.22,311,3040,0.632377028465271,7400,-0.6528361439704895,0.059193748980760574,7399,15.82
0.0007,960000,0.31371110677719116,905.49,311,3080,0.6874406039714813,7500,-0.5908912420272827,0.061384834349155426,7499,16.77
0.0007,972800,0.42555999755859375,938.32,311,3119,0.6368540525436401,7600,-0.5467163920402527,-0.09070473164319992,7599,18.06
0.0007,985600,0.4205019474029541,805.91,311,3160,0.5766655206680298,7700,-0.6013474464416504,-0.04713227599859238,7699,14.07
0.0007,998400,0.4987161159515381,880.3,311,3200,0.6675496697425842,7800,-0.6119373440742493,0.05026623234152794,7799,15.23
