time/fps,time/iterations,train/policy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,train/learning_rate
1162,2900,-6.344164848327637,2899,-130.12078427999998,251.86,29000,444.49615478515625,-0.3691968619823456,0.09035027027130127,24,0.0007
1162,3000,15.586398124694824,2999,-121.44301803,259.22,30000,1430.2288818359375,-0.6054905652999878,-0.3593255281448364,25,0.0007
1161,3100,-6.266028881072998,3099,-123.23691987000001,264.27,31000,124.3335189819336,-0.6412000060081482,-0.2862788438796997,26,0.0007
1161,3200,2.3359079360961914,3199,-122.76227536,268.34,32000,9.141255378723145,-1.0700500011444092,-0.0007840394973754883,27,0.0007
1161,3300,4.263092994689941,3299,-124.22872623,273.19,33000,53.294578552246094,-0.670669436454773,-3.790855407714844e-05,28,0.0007
1161,3400,4.723370552062988,3399,-121.08674405,273.75,34000,116.28863525390625,-0.6199936866760254,-1.8888187408447266,29,0.0007
1161,3500,-6.590354919433594,3499,-117.77010877999999,277.13,35000,131.7122802734375,-0.5032312273979187,-0.0031048059463500977,30,0.0007
1161,3600,-1.1946165561676025,3599,-121.48469803000002,272.36,36000,36.970794677734375,-0.8272291421890259,-0.004150986671447754,30,0.0007
1161,3700,-2.4505581855773926,3699,-120.16257732,272.83,37000,43.749900817871094,-0.6714919805526733,0.05706143379211426,31,0.0007
1161,3800,9.894559860229492,3799,-119.48577518999998,273.52,38000,264.2653503417969,-0.6532918214797974,-0.16829299926757812,32,0.0007
1161,3900,2.943406581878662,3899,-114.76468085999998,274.0,39000,33.751617431640625,-0.660458505153656,0.0003542900085449219,33,0.0007
1160,4000,-9.234659194946289,3999,-109.74400025999999,280.07,40000,203.29129028320312,-0.5225672721862793,0.7888228744268417,34,0.0007
1161,4100,-12.421878814697266,4099,-104.59075245999999,280.34,41000,342.81976318359375,-0.45699095726013184,0.5686352550983429,35,0.0007
1161,4200,1.7486432790756226,4199,-104.54935882,281.06,42000,37.732479095458984,-0.6373805403709412,-15.472957611083984,36,0.0007
1161,4300,8.197521209716797,4299,-106.99396537000001,280.25,43000,126.94987487792969,-0.5140017867088318,0.4590300917625427,37,0.0007
1161,4400,2.6029574871063232,4399,-106.63142058000003,282.31,44000,18.918380737304688,-0.6279690265655518,0.020084679126739502,37,0.0007
