time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
872464,29324,270,3228,0.01,1041.09,23.22,0.00025,0.026777103543281555,205615
872789,29328,270,3229,0.01,1041.4,23.2,0.00025,0.0814911276102066,205697
873041,29332,270,3230,0.01,1046.3,23.53,0.00025,0.05752543732523918,205760
873212,29336,270,3231,0.01,1047.91,23.53,0.00025,0.1452116072177887,205802
873409,29340,270,3232,0.01,1046.96,23.56,0.00025,0.09657683968544006,205852
873679,29344,270,3233,0.01,1046.96,23.56,0.00025,0.04695344716310501,205919
873863,29348,270,3233,0.01,1049.8,23.72,0.00025,0.07270166277885437,205965
874059,29352,270,3234,0.01,1050.2,23.66,0.00025,0.02521451935172081,206014
874322,29356,270,3235,0.01,1049.86,23.66,0.00025,0.033781997859478,206080
874490,29360,270,3236,0.01,1050.76,23.68,0.00025,0.03379122167825699,206122
874696,29364,270,3236,0.01,1050.76,23.68,0.00025,0.11798030138015747,206173
874895,29368,270,3237,0.01,1052.38,23.78,0.00025,0.07511165738105774,206223
875137,29372,270,3238,0.01,1051.69,23.61,0.00025,0.06573887169361115,206284
875288,29376,270,3239,0.01,1053.42,23.71,0.00025,0.07799914479255676,206321
875484,29380,270,3239,0.01,1049.52,23.66,0.00025,0.07582099735736847,206370
875643,29384,270,3240,0.01,1049.52,23.66,0.00025,0.04164136201143265,206410
875834,29388,270,3241,0.01,1045.7,23.5,0.00025,0.0456538125872612,206458
876111,29392,270,3242,0.01,1049.94,23.65,0.00025,0.04608389362692833,206527
876269,29396,270,3242,0.01,1045.94,23.54,0.00025,0.05771902948617935,206567
876435,29400,270,3243,0.01,1042.69,23.42,0.00025,0.03458360582590103,206608
876572,29404,270,3243,0.01,1042.69,23.42,0.00025,0.056574996560811996,206642
876725,29408,270,3244,0.01,1041.84,23.4,0.00025,0.018940571695566177,206681
876913,29412,270,3245,0.01,1043.4,23.46,0.00025,0.06381918489933014,206728
877028,29416,270,3245,0.01,1041.31,23.41,0.00025,0.05271463841199875,206756
877237,29420,270,3246,0.01,1040.8,23.41,0.00025,0.02536848373711109,206809
877353,29424,270,3246,0.01,1040.8,23.41,0.00025,0.08987879008054733,206838
877563,29428,270,3247,0.01,1037.56,23.25,0.00025,0.06250706315040588,206890
877830,29432,270,3248,0.01,1037.31,23.14,0.00025,0.042063161730766296,206957
878019,29436,270,3249,0.01,1041.95,23.34,0.00025,0.07606588304042816,207004
878176,29440,270,3249,0.01,1038.89,23.36,0.00025,0.036450307816267014,207043
878361,29444,270,3250,0.01,1038.89,23.36,0.00025,0.06600937992334366,207090
